animal,region,roi,n_nuclei,roi_area_um2,GoA_total_spots,GoB_total_spots,GoA_density_per_um2,GoB_density_per_um2,GoA_to_GoB_ratio,GoA_avg_spots_per_cell,GoB_avg_spots_per_cell,GoA_to_GoB_avg_spot_ratio,cells_more_GoA,cells_more_GoA_prop,cells_more_GoB,cells_more_GoB_prop,cells_no_spots_both,cells_no_spots_both_prop,cells_any_GoA,cells_any_GoA_prop,cells_any_GoB,cells_any_GoB_prop,GoA_Hscore,GoA_Hscore_norm,GoB_Hscore,GoB_Hscore_norm,GoA_bin0_count,GoB_bin0_count,GoA_bin0_prop,GoB_bin0_prop,GoA_bin1_count,GoB_bin1_count,GoA_bin1_prop,GoB_bin1_prop,GoA_bin2_count,GoB_bin2_count,GoA_bin2_prop,GoB_bin2_prop,GoA_bin3_count,GoB_bin3_count,GoA_bin3_prop,GoB_bin3_prop,GoA_bin5_count,GoB_bin5_count,GoA_bin5_prop,GoB_bin5_prop
Rat1,hippo,CA1,121,76064.72942024999,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,121,1.0,0,0.0,0,0.0,0,0.0,0,0.0,121,121,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Rat1,hippo,CA3,69,95861.98285649999,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,69,1.0,0,0.0,0,0.0,0,0.0,0,0.0,69,69,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Rat1,hippo,DG,220,92194.93566224999,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,220,1.0,0,0.0,0,0.0,0,0.0,0,0.0,220,220,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Rat1,hippo,DGfun,37,141091.43868224998,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,37,1.0,0,0.0,0,0.0,0,0.0,0,0.0,37,37,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Rat1,thal,thal,647,805457.96014275,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,647,1.0,0,0.0,0,0.0,0,0.0,0,0.0,647,647,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Rat2,hippo,CA1,31,55915.795791,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,31,1.0,0,0.0,0,0.0,0,0.0,0,0.0,31,31,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Rat2,hippo,CA3,38,77325.88355325,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,38,1.0,0,0.0,0,0.0,0,0.0,0,0.0,38,38,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Rat2,hippo,DG,41,74541.82631625,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,41,1.0,0,0.0,0,0.0,0,0.0,0,0.0,41,41,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Rat2,hippo,DGfun,75,178402.22600624998,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,75,1.0,0,0.0,0,0.0,0,0.0,0,0.0,75,75,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Rat2,thal,thal,255,414329.58903825,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,255,1.0,0,0.0,0,0.0,0,0.0,0,0.0,255,255,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Rat3,hippo,CA1,308,72921.41304074999,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,308,1.0,0,0.0,0,0.0,0,0.0,0,0.0,308,308,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Rat3,hippo,CA3,95,96010.0899255,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,95,1.0,0,0.0,0,0.0,0,0.0,0,0.0,95,95,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Rat3,hippo,DG,838,72448.00391024999,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,838,1.0,0,0.0,0,0.0,0,0.0,0,0.0,838,838,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Rat3,hippo,DGfun,408,150668.73276075,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,408,1.0,0,0.0,0,0.0,0,0.0,0,0.0,408,408,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Rat3,thal,thal,2480,1033944.6154072499,0,0,0.0,0.0,,0.0,0.0,,0,0.0,0,0.0,2480,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2480,2480,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
